نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة,الرياض, حي الملقا ,غير معروف,3,1,2,100,True,True,True,أرضي,0,False,1000000
شقة,الرياض, حي الوادي ,شمالية,3,1,3,141,True,False,False,أرضي,0,False,979000
شقة,الرياض, حي القيروان ,شمالية,3,2,3,141,True,False,True,3,0,False,949000
شقة,الرياض, حي النزهة ,جنوبية شرقية,3,1,3,203,True,False,False,غير معروف,8,False,1500000
شقة,الرياض, حي العارض ,غير معروف,3,2,3,138,True,False,True,علوي,0,False,895000
شقة,الرياض, حي النرجس ,غربية,4,1,4,156,False,False,False,ارضي,0,False,1000000
شقة,الرياض, الرياض ,شمالية شرقية,1,1,2,81,False,True,True,20+,3,False,1700000
شقة,الرياض, حي العارض ,غربية,4,2,3,145,False,True,True,غير معروف,0,False,920000
شقة,الرياض, حي القيروان ,غير معروف,3,1,3,130,True,False,True,علوي,0,False,960000
شقة,الرياض, حي حطين ,شمالية غربية,3,2,3,155,True,False,False,أرضي,0,False,1245000
شقة,الرياض, حي النرجس ,غير معروف,3,1,3,151,True,False,True,أرضي,0,False,846000
شقة,الرياض, حي الياسمين ,شرقية,3,1,3,129,True,True,True,3,0,False,1250000
شقة,الرياض, حي النرجس ,شمالية,4,2,4,143,True,False,False,أرضي,0,False,1570000
شقة,الرياض, حي النفل ,شرقية,3,1,3,108,True,False,False,أرضي,0,True,1550000
شقة,الرياض, حي النرجس ,شمالية غربية,3,1,3,136,False,False,False,غير معروف,0,False,1019000
شقة,الرياض, حي الملقا ,ثلاث شوارع,3,1,3,124,False,True,True,ثاني,0,False,959000
شقة,الرياض, حي الصحافة ,جنوبية,3,1,3,258,True,False,False,غير معروف,0,False,889000
شقة,الرياض, حي الملقا ,غير معروف,3,2,3,111,False,False,False,غير معروف,0,False,1150000
شقة,الرياض, حي العارض ,شمالية شرقية,3,2,3,126,True,False,False,أرضي,0,False,859000
شقة,الرياض, حي الملقا ,شرقية,3,1,3,136,True,False,True,علوي,0,False,1199000
شقة,الرياض, حي الياسمين ,شمالية,2,2,2,232,True,False,False,3,2,False,1000000
شقة,الرياض, حي القيروان ,شمالية,3,2,3,141,True,False,False,علوي,0,False,949000
شقة,الرياض, حي الملقا ,شرقية,3,1,3,114,False,False,True,أرضي,0,False,1150000
شقة,الرياض, حي المروج ,جنوبية,3,1,3,146,True,False,True,أرضي,0,False,1064000
شقة,الرياض, حي الملقا ,شرقية,3,1,3,132,True,True,True,أرضي,1,True,1300000
شقة,الرياض, حي النرجس ,ثلاث شوارع,3,1,3,167,True,True,True,علوي,0,False,1142500
شقة,الرياض, حي الملقا ,غير معروف,2,1,3,115,True,False,True,علوي,1,True,1200000
شقة,الرياض, حي العارض ,غير معروف,2,1,2,86,False,False,False,علوي,4,False,750000
شقة,الرياض, حي الياسمين ,غربية,4,3,5+,152,True,True,True,علوي,12,True,1300000
