نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,المساحة,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي,السعر المربع
فيلا,الرياض, حي المونسية ,جنوبية,6,2,4,0.0,319.0,1,1,1,1,1,1,0,0,1,1,3150000.0,9874.60815047022
فيلا,الرياض, حي القادسية ,شمالية شرقية,7,5,5,15.0,850.0,1,1,1,1,1,1,1,0,1,1,6500000.0,7647.058823529412
فيلا,الرياض, الرياض ,جنوبية,6,3,5,0.0,250.0,1,1,0,0,1,1,0,0,1,0,1470000.0,5880.0
فيلا,الرياض, الرياض ,شرقية,0,0,0,0.0,495.0,0,0,0,0,0,0,0,0,0,0,3500000.0,7070.707070707071
فيلا,الرياض, حي النهضة ,شمالية,7,5,5,0.0,495.0,1,1,0,0,0,1,0,0,0,0,2200000.0,4444.444444444444
فيلا,الرياض, حي اشبيلية ,شرقية,5,1,5,0.0,388.0,1,1,1,1,0,1,0,0,1,0,2200000.0,5670.103092783505
فيلا,الرياض, حي القادسية ,شمالية شرقية,7,5,5,15.0,850.0,1,1,1,1,1,1,1,0,1,1,6500000.0,7647.058823529412
فيلا,الرياض, حي المونسية ,غربية,0,0,0,0.0,284.0,0,0,0,0,0,0,0,0,0,0,1400000.0,4929.577464788732
فيلا,الرياض, حي قرطبة ,جنوبية,1,0,3,0.0,360.0,0,1,1,1,0,0,0,0,1,0,2500000.0,6944.444444444444
فيلا,الرياض, حي قرطبة ,جنوبية,5,2,5,15.0,360.0,0,1,0,0,0,0,0,0,0,0,2500000.0,6944.444444444444
فيلا,الرياض, الرياض ,شمالية غربية,7,2,4,15.0,274.0,1,1,0,0,0,1,0,0,1,0,1300000.0,4744.525547445255
فيلا,الرياض, حي السعادة ,جنوبية,3,1,5,0.0,250.0,1,1,1,1,1,1,0,0,1,0,1700000.0,6800.0
فيلا,الرياض, حي الجنادرية ,غربية,7,3,5,0.0,312.0,0,0,0,0,0,1,0,0,1,0,1450000.0,4647.4358974358975
فيلا,الرياض, حي الرمال ,شمالية,7,1,5,0.0,281.0,0,0,0,0,0,0,0,0,0,0,1400000.0,4982.20640569395
فيلا,الرياض, الرياض ,غربية,6,2,5,0.0,305.0,1,0,1,0,1,0,0,0,1,1,1650000.0,5409.836065573771
فيلا,الرياض, حي الجنادرية ,شمالية,4,1,4,0.0,375.0,0,1,0,0,0,1,0,0,1,0,1200000.0,3200.0
فيلا,الرياض, حي قرطبة ,شمالية,7,3,5,15.0,350.0,0,1,1,1,1,1,0,0,1,0,3500000.0,10000.0
